"O.NET.SOC.Code","Analytical.IM","Category.Flexibility","Deductive.Reasoning","Flexibility.of.Closure","Fluency.of.Ideas","Inductive.Reasoning","Information.Ordering","Mathematical.Reasoning","Memorization","Number.Facility","Oral.Comprehension","Oral.Expression","Originality","Perceptual.Speed","Problem.Sensitivity","Selective.Attention","Spatial.Orientation","Speed.of.Closure","Time.Sharing","Visualization","Written.Comprehension","Written.Expression","y"
"11-1011.00",4.45,4.12,5,3.5,4.62,5,4,3.88,3.12,4.12,4.88,5,4.25,2.88,5,3.12,0.12,3.38,2.88,3.88,4.62,4.62,1
"11-1011.03",4.31,3.62,4.5,3,4.12,4.25,3.62,3.25,2.5,3.25,4.5,4.62,4,2.38,4.25,2.75,0.25,2.62,2.38,3.12,4.38,4.38,1
"11-1021.00",4.03,3,3.75,2.25,3.25,3.38,3.62,3.12,2.25,2.62,4.12,4,3.38,2.25,3.88,2.88,0.62,2.12,2.88,2.5,4,4,1
"11-2011.00",3.88,3.88,4.5,3.12,4.12,3.88,3.75,3.12,2.38,3.12,4.38,4.75,3.88,2.75,4,2.75,0,2.75,2.12,3.12,4,4,1
"11-2021.00",4,3.62,4.38,3,4.25,3.88,3.5,3.62,3,3.5,4.38,4.12,4,2.88,3.88,2.88,0,3,2.62,3,4.12,4.12,1
"11-2022.00",4.14,3.62,4.38,2.75,3.75,4,3.38,3.75,3,3.62,4.5,4.12,3.88,2.38,3.88,2.62,0.5,3,2.38,2.5,4,4,1
"11-2031.00",3.79,3.38,4.12,2.75,4.12,3.75,3.62,3,2.75,3,4.5,4.75,4,2.38,4,2.88,0,2.75,2.75,2.75,4.12,4.62,0
"11-3011.00",4.04,3.12,3.88,2.38,3.12,3.38,3.12,2.5,2.62,2.75,4,4,3.12,2.38,3.75,3,0.5,2.62,2.88,2.75,4,4,1
"11-3021.00",4.25,3.12,4,3,3.75,4,4,3,2.62,3.12,4.5,4.38,3.5,2.75,4,2.88,0.12,2.75,2.12,3,4.38,4.12,1
"11-3031.01",4.63,3.62,4.5,3.12,3.62,4.12,3.88,4.25,2.75,4.38,4.25,4.62,3.38,3,4.75,2.75,0,3.12,2.12,2.75,4.38,4.12,1
"11-3031.02",3.87,3.5,4.38,2.88,3.62,3.75,3.88,4,3,4.12,4.5,4.25,3.75,3,4,3,0,2.75,2.88,2,4.12,4.12,1
"11-3051.00",4.12,3.5,4.25,2.88,3.75,4,3.75,3.75,2.75,3.38,4.25,4.25,3.88,2.88,4,3.12,0.25,2.75,2.62,3.12,4,3.88,1
"11-3051.01",4.64,3.25,3.88,3.62,3.38,4,3.38,3.38,3.12,3.5,4.25,4,3.38,3.38,4.25,3.62,0.25,3,3.12,2.88,4.12,3.88,1
"11-3051.02",4.41,3.5,4,3.12,3.38,3.38,3.62,3.75,2.62,3.5,4.38,4.25,3.25,3.25,4.12,3.25,1.75,2.75,2.5,3,4.12,3.75,1
"11-3051.03",4.29,3.38,3.88,3.25,3.25,3.88,3.75,3.38,2.75,3.25,4.5,4.12,3.5,3.62,3.75,3.62,0.12,3.12,3,3,4.12,3.75,1
"11-3051.04",4.22,3.5,4,3.25,3.38,3.62,3.75,3.5,2.88,3.12,4.12,4.12,3.5,3.5,4.62,3,0.5,2.88,2.5,3.25,4.25,4,1
"11-3051.06",4.19,3.62,3.88,3.62,3.38,3.75,4,3.38,3,3.38,4.25,4.38,3.25,3.75,4.12,3.38,2,3.25,3,3.38,4.38,4.12,1
"11-3061.00",4.29,3.75,4,2.88,4,3.88,3.62,3.5,2.75,3.38,4.12,4.12,3.75,2.75,3.88,3,0,2.88,2.62,2.38,4.12,4.12,1
"11-3071.01",3.82,3.38,4.12,2.88,3.75,3.75,3.88,3,2.38,3,4.25,4.25,3.5,2.62,4,2.88,0.5,2.38,2.25,2.62,4.25,4,0
"11-3071.02",4.17,3.12,3.5,2.5,3.12,3.75,3.5,3,2.38,3,4,4,3.12,2.75,3.88,2.88,1.75,2.25,2.5,2.5,4,4,1
"11-3071.03",4.23,3.88,4.25,2.88,3.5,3.88,3.62,3.38,2.62,3.25,4.12,4.12,3.38,2.12,4.12,2.88,0.5,2.88,2.62,2.75,4,4,1
"11-3111.00",4.57,3,3.38,2.38,3.25,3.38,3.25,3.12,2.25,3.38,4,4,3.12,2.38,3.25,2.38,0,2.12,2,1.75,4,4,1
"11-3121.00",4.12,3.75,4.12,2.88,4,4,3.38,3.5,3,3.38,4.25,4.12,3.88,2.75,4,2.75,0,3,2.38,2.5,4.25,4,1
"11-3131.00",3.89,3.62,4.25,2.88,4.12,4,3.88,3,3.38,3,4.25,4.62,4,2.62,3.88,2.88,0,2.88,2.25,2.88,4.12,4.62,1
"11-9013.01",4.41,3.25,3.5,2.88,3,3.63,3.5,2,2.13,2.63,3.88,4,3.38,2.38,3.88,3,1,2.13,2.75,3.13,3.5,3.63,1
"11-9013.02",3.64,3.62,4.12,3.25,3.25,3.88,3.5,3.38,2.38,3,4.25,4.12,3.38,2.75,4.12,2.75,1.88,2.5,2.62,2.88,4,3.5,0
"11-9013.03",3.9,3.5,3.88,3,3.25,3.88,3.5,3,2.88,3,4,4,3.25,3,4,2.88,1.62,2.38,2.88,3,4,4,1
"11-9021.00",3.92,3.5,4,3.62,3.25,4,4,3.62,2.75,3.75,4,4,3.5,2.88,4,3.25,1.38,3,3,4,4,4,1
"11-9031.00",3.56,3.12,4.12,2.88,3.62,3.88,3.62,2.88,3,2.88,4.12,4.38,3.5,2.5,4,3.12,0,2.75,2.75,2.5,4.12,4.25,0
"11-9032.00",4.38,4,4.5,3.12,3.88,4.12,3.75,3.38,2.88,3,4.88,5,4,2.38,4.5,3,0,2.75,2.88,2.75,4.5,4.62,1
